Kode Astra,Nama Barang,Harga Beli,Harga Jual
06435K26G01,PAD SET RR,233750.00,275000.00
06435K40F11,PAD SET RR BRAKE LBL,447015.00,525900.00
06435K56N01,"PAD SET, RR.",70975.00,83500.00
06435K64N01,"PAD SET, RR.",121125.00,142500.00
06435K97N01,PAD SET FR,113641.93,132000.00
06435KPP901,PAD SET FR,43350.00,56000.00
06435KPP902,PAD SET RR,47600.00,56000.00
06435KPPT01,"PAD SET, RR.",300050.00,353000.00
06435KREG31,06435KREG32,63325.00,74500.00
06435KREG32,"PAD SET, RR",68425.00,80500.00
06435KSPB01,PAD SET RR,58650.00,69000.00
06435KSPB02,PAD SET RR,59500.00,70000.00
06435KTYH51,PAD SET RR,323850.00,381000.00
06435KWC901,PAD SET RR,49725.00,58500.00
06435KYJ901,"PAD SET, RR",436900.00,514000.00
06435KZZ901,PAD SET RR,336600.00,396000.00
06435KZZ902,PAD SET RR,265200.00,312000.00
06435MCA016,06435MCA026,690625.00,812500.00
06435MCA026,"PAD SET,RR",0.00,0.00
06435MEJ026,PAD SET RR LBL,944350.00,1111000.00
06435MELD22,06435MELD23,625600.00,736000.00
06435MELD23,"PAD SET,RR LBL",872525.00,1026500.00
06435MGSD31,06435MGSD32,552500.00,650000.00
06435MGSD32,"PAD SET,RR",746725.00,878500.00
06435MGZJ01,06435MGZJ02,361675.00,425500.00
06435MGZJ02,PAD SET RR,280500.00,330000.00
06435MJTE01,PAD SET RR,3394900.00,3994000.00
06435MKCA01,PAD SET RR LBL,1115200.00,1312000.00
06435MKEAA1,"PAD SET, RR.",0.00,0.00
06436MCT016,"PAD SET, PARKING BRAKE LBL",668950.00,787000.00
06436MEH006,PAD SET PARKING LBL,688925.00,810500.00
06436MJTE01,SPRING SET PAD,660450.00,777000.00
06437MJTE01,SCREW SET BLEEDER,370600.00,436000.00
0643AKVY700,STEP FLOOR-UNDER(SET),184025.00,216500.00
06440K2ET00,SPOKE SET A11X156,15300.00,18000.00
06440K58N50,SPOKE SET A11X183,5100.00,6000.00
06440K84900,"SPOKE SET,A 10X251",8500.00,10000.00
06440KZZ900,SPOKE SET FR,13600.00,16000.00
06440MJPG51,SPOKE SET FR,42500.00,50000.00
06440MKHD00,SPOKE SET A,40800.00,48000.00
06440MKKD00,SPOKE SET FR,54400.00,64000.00
06441K2ET00,SPOKE SET A11X156,15300.00,18000.00
06441K58N50,SPOKE SET A11X183,5100.00,6000.00
06441K84900,"SPOKE SET A, 10X252.5",8500.00,10000.00
06441MKHD00,SPOKE SET B,40800.00,48000.00
06446GN5900,"SPK.KIT,FR.SET 36PCS",110500.00,130000.00
06451166405,"SEAL SET,PISTON",70975.00,83500.00
06451443405,"SEAL SET,PISTON",118575.00,139500.00
06451961405,SEAL SET PISTON,30600.00,36000.00
06451GE2405,"SEALSET,PISTON",34850.00,41000.00
06451GE2406,06451GE2405,30600.00,36000.00
06451K59A71,"SEAL SET,PISTON",5525.00,6500.00
06451KEV650,SEAL SET PISTON,29750.00,35000.00
06451KZZ901,06451KZZ902,227800.00,268000.00
06451KZZ902,PAD SET FR BRAKE,192100.00,226000.00
06451MA7405,SEAL SET PISTON,36550.00,43000.00
06451MA7406,"SEAL SET, PISTON",18700.00,22000.00
06451MCJ751,SEAL SET PISTON,127925.00,150500.00
06451MCZ006,SEAL SET PISTON,65025.00,76500.00
06451MEL003,SEAL SET PISTON 32,53550.00,63000.00
06451MGPD81,"SEAL SET, PISTON(32)",257550.00,303000.00
06451MKRD11,SEAL SET PISTON,56100.00,66000.00
06451MLCD01,"PAD SET,L FR BRAK",680000.00,800000.00
06451MZ2405,"SEAL SET,PISTON",87550.00,103000.00
06452MAK003,SEAL SET PISTON,96900.00,114000.00
06452MCZ006,SEAL SET PISTON,69275.00,81500.00
06452MEL003,SEAL SET PISTON 30,53550.00,63000.00
06452MGPD81,"SEAL SET, PISTON(30)",257550.00,303000.00
06454MCA307,"M/C ASSY KIT, SECOND/REAR",1133050.00,1333000.00
06455K20911,06455K20912,300475.00,353500.00
06455K20912,"PAD SET,FR",262650.00,309000.00
06455K26921,"PAD SET, FR. BRAKE",237575.00,279500.00
06455K29D01,"PAD SET, FR. LBL",497250.00,585000.00
06455K31901,06455K31902,289425.00,340500.00
06455K31902,PAD SET,281350.00,331000.00
06455K33D51,06455K33D52,758625.00,892500.00
06455K33D52,"PAD SET, FR.",347650.00,409000.00
06455K40F11,06455K40F12,317050.00,373000.00
06455K40F12,PAD SET FR,292400.00,61500.00
06455K46N21,PAD SET FR,52275.00,61500.00
06455K56N01,"PAD SET, FR. BRAKE",50150.00,59000.00
06455K59A71,KAMPAS REM DEPAN,74671.04,88500.00
