Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
285,ganti saft drive,LR,,40,MENIT,50000.00
286,STEP FLOOR SCOPY,LR,,30,MENIT,50000.00
287,PEMBERSIHAN ELEKTRIK,LR,,1,JAM,50000.00
288,GANTI SELANG BENSIN,LR,,15,MENIT,15000.00
289,BEARING CVT,LR,,30,MENIT,35000.00
290,STATOR COM,LR,,1,JAM,50000.00
291,PERBAIKAN RADIATOR,LR,,20,MENIT,20000.00
292,WINKER FR R,LR,,15,MENIT,15000.00
293,PEMBERSIHAN KABEL GAS,LR,,20,MENIT,35000.00
294,PAK CVT,LR,,20,MENIT,15000.00
295,LINK ASSY,LR,,1,JAM,75000.00
296,GANTI KAMPAS REM SPORT,LR,,20,MENIT,25000.00
297,PASANG KNALPOT,LR,,20,MENIT,30000.00
298,BERSIHIN KARBURATOR,LR,,20,MENIT,35000.00
299,Skuur Klep Cub,LR,,10,MENIT,15000.00
300,Skuur Klep Matic,LR,,15,MENIT,15000.00
301,Skuur Klep Sport,LR,,15,MENIT,15000.00
302,GANTI SEAL MAHNIT SUPRA,LR,,20,MENIT,50000.00
303,PASANG LAHER NOKEN AS,LR,,1,JAM,125000.00
304,PASANG LAHER SEPITI MATIC,LR,,20,MENIT,17000.00
305,GANTI BATOK DEPAN,LR,,20,MENIT,30000.00
306,GANTI LAMPU SEIN VARIO,LR,,15,MENIT,10000.00
307,COVER uNDER,LR,,20,MENIT,50000.00
308,GANTI LAMPU STOP VARIO,LR,,35,MENIT,25000.00
309,SOK DRAT BUSI,LR,,120,MENIT,80000.00
310,SKUR KLEP VARIO,LR,,120,MENIT,100000.00
311,SENAI BAUT OLI,LR,,35,MENIT,25000.00
312,Jasa Servis Kabel,LR,,15,MENIT,20000.00
313,Jasa Setel Peleng,LR,,1,JAM,30000.00
314,JASA,LR,,15,MENIT,20000.00
315,Jasa Pasang Kolboster,LR,,45,MENIT,15000.00
316,Ganti Shockbeker,LR,,30,MENIT,15000.00
317,SEAT LOCK GANTI,LR,,30,MENIT,10000.00
318,"GANTI LEVER , R HANDLE",LR,,10,MENIT,10000.00
319,CABUT BAUT,LR,,30,MENIT,55000.00
320,Kuras Tangki Minyak,LR,,20,MENIT,30000.00
321,Ganti Oli shockbreker Depan,LR,,20,MENIT,40000.00
322,JASA,LR,,15,MENIT,20000.00
323,JASA,LR,,20,MENIT,5000.00
324,JASA,LR,,20,MENIT,10000.00
325,JASA,LR,,25,MENIT,25000.00
326,JASA,LR,,25,MENIT,30000.00
327,GANTI KABEL GAS CUB,LR,,15,MENIT,10000.00
328,GANTI BAN DALAM BLK,LR,,10,MENIT,20000.00
329,GANTI KABEL KOPLING SPORT,LR,,20,MENIT,20000.00
330,SENTER BODY,LR,,1,HARI,200000.00
331,JASA,LR,,1,HARI,200000.00
332,KOLTER,LR,,1,HARI,60000.00
333,GANTI KABEL GAS MATIC,LR,,20,MENIT,25000.00
334,STEL PELENG,LR,,30,MENIT,15000.00
335,SERVICE STARTER TANGAN,LR,,45,MENIT,40000.00
336,SERVICE KUNCI,LR,,20,MENIT,30000.00
337,PERBAIKAN KABEL LISTRIK,LR,,30,MENIT,20000.00
338,PASANG SPUL CUB,LR,,1,JAM,50000.00
339,GANTI SWITCH REM,LR,,15,MENIT,10000.00
340,GANTI GRIP HANDLE,LR,,15,MENIT,10000.00
341,GANTI KIPROK,LR,,10,MENIT,15000.00
342,LAS KNALPOT,LR,,30,MENIT,25000.00
343,GANTI KABEL REM CUB,LR,,15,MENIT,35000.00
344,GANTI PLAMPUNG MINYAK,LR,,10,MENIT,25000.00
345,PERBAIKAN OTOMATIS LAMPU RETING,LR,,15,MENIT,15000.00
346,"LIGHT ASSY,REAR COMB",LR,,15,MENIT,20000.00
347,GANTI PAK KNALPOT VARIO,LR,,10,MENIT,5000.00
348,PERBAIKI LAMPU DEPAN VARIO,LR,,15,MENIT,10000.00
349,JOB RETURN,LR,,15,MENIT,0.00
350,GANTI SEAL MAGNET VARIO,LR,,30,MENIT,50000.00
351,FENDER BELAKANG MATIC,LR,,15,MENIT,30000.00
352,"GANTI, BRUSH SET TERMINAL",LR,,10,MENIT,25000.00
353,JASA,LR,,120,MENIT,150000.00
354,SETEL RANTAI,LR,,10,MENIT,5000.00
355,PASANG STRIP,LR,,25,MENIT,15000.00
356,SOK BAUT TAP OLI,LR,,120,MENIT,50000.00
357,prbaikan stater kaki,LR,,15,MENIT,15000.00
358,KURAS RADIATOR,LR,,10,MENIT,15000.00
359,GANJEL BATOK,LR,,15,MENIT,30000.00
360,JASA GANJEL BODI,LR,,20,MENIT,20000.00
400,"Cable Speedometer , Ganti",LR,,15,MENIT,15000.00
