Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
06435K0BT01,PAD SET RR BRAKE,HGP,,PCS,,363000.00,15
06435K0FD11,PAD SET RR,HGP,,PCS,,351000.00,15
06435K0FT01,PAD SET RR,HGP,,PCS,,332000.00,15
06435K0RV01,"PAD SET, RR. BRAKE",HGP,,PCS,,0.00,15
06435K26G01,PAD SET RR,HGP,,PCS,,275000.00,15
06435K40F11,PAD SET RR BRAKE LBL,HGP,,PCS,,525900.00,15
06435K56N01,"PAD SET, RR.",HGP,,PCS,,83500.00,15
06435K64N01,"PAD SET, RR.",HGP,,PCS,,142500.00,15
06435K97N01,PAD SET FR,HGP,,PCS,,132000.00,15
06435KPP901,PAD SET FR,HGP,,PCS,,56000.00,15
06435KPP902,PAD SET RR,HGP,,PCS,,56000.00,15
06435KPPT01,"PAD SET, RR.",HGP,,PCS,,353000.00,15
06435KREG31,06435KREG32,HGP,,PCS,,74500.00,15
06435KREG32,"PAD SET, RR",HGP,,PCS,,80500.00,15
06435KSPB01,PAD SET RR,HGP,,PCS,,69000.00,15
06435KSPB02,PAD SET RR,HGP,,PCS,,70000.00,15
06435KTYH51,PAD SET RR,HGP,,PCS,,381000.00,15
06435KWC901,PAD SET RR,HGP,,PCS,,58500.00,15
06435KYJ901,"PAD SET, RR",HGP,,PCS,,514000.00,15
06435KZZ901,PAD SET RR,HGP,,PCS,,396000.00,15
06435KZZ902,PAD SET RR,HGP,,PCS,,312000.00,15
06435MCA016,06435MCA026,HGP,,PCS,,812500.00,15
06435MCA026,"PAD SET,RR",HGP,,PCS,,0.00,15
06435MEJ026,PAD SET RR LBL,HGP,,PCS,,1111000.00,15
06435MELD22,06435MELD23,HGP,,PCS,,736000.00,15
06435MELD23,"PAD SET,RR LBL",HGP,,PCS,,1026500.00,15
06435MGSD31,06435MGSD32,HGP,,PCS,,650000.00,15
06435MGSD32,"PAD SET,RR",HGP,,PCS,,878500.00,15
06435MGZJ01,06435MGZJ02,HGP,,PCS,,425500.00,15
06435MGZJ02,PAD SET RR,HGP,,PCS,,330000.00,15
06435MJTE01,PAD SET RR,HGP,,PCS,,3994000.00,15
06435MKCA01,PAD SET RR LBL,HGP,,PCS,,1312000.00,15
06435MKEAA1,"PAD SET, RR.",HGP,,PCS,,0.00,15
06436MCT016,"PAD SET, PARKING BRAKE LBL",HGP,,PCS,,787000.00,15
06436MEH006,PAD SET PARKING LBL,HGP,,PCS,,810500.00,15
06436MJTE01,SPRING SET PAD,HGP,,PCS,,777000.00,15
06437MJTE01,SCREW SET BLEEDER,HGP,,PCS,,436000.00,15
0643AKVY700,STEP FLOOR-UNDER(SET),HGP,,PCS,,216500.00,15
06440K2ET00,SPOKE SET A11X156,HGP,,PCS,,18000.00,15
06440K58N50,SPOKE SET A11X183,HGP,,PCS,,6000.00,15
06440K84900,"SPOKE SET,A 10X251",HGP,,PCS,,10000.00,15
06440KZZ900,SPOKE SET FR,HGP,,PCS,,16000.00,15
06440MJPG51,SPOKE SET FR,HGP,,PCS,,50000.00,15
06440MKHD00,SPOKE SET A,HGP,,PCS,,48000.00,15
06440MKKD00,SPOKE SET FR,HGP,,PCS,,64000.00,15
06441K2ET00,SPOKE SET A11X156,HGP,,PCS,,18000.00,15
06441K58N50,SPOKE SET A11X183,HGP,,PCS,,6000.00,15
06441K84900,"SPOKE SET A, 10X252.5",HGP,,PCS,,10000.00,15
06441MKHD00,SPOKE SET B,HGP,,PCS,,48000.00,15
06446GN5900,"SPK.KIT,FR.SET 36PCS",HGP,,PCS,,130000.00,15
06451166405,"SEAL SET,PISTON",HGP,,PCS,,83500.00,15
06451443405,"SEAL SET,PISTON",HGP,,PCS,,139500.00,15
06451961405,SEAL SET PISTON,HGP,,PCS,,36000.00,15
06451GE2405,"SEALSET,PISTON",HGP,,PCS,,41000.00,15
06451GE2406,06451GE2405,HGP,,PCS,,36000.00,15
06451K59A71,"SEAL SET,PISTON",HGP,,PCS,,6500.00,15
06451KEV650,SEAL SET PISTON,HGP,,PCS,,35000.00,15
06451KZZ901,06451KZZ902,HGP,,PCS,,268000.00,15
06451KZZ902,PAD SET FR BRAKE,HGP,,PCS,,226000.00,15
06451MA7405,SEAL SET PISTON,HGP,,PCS,,43000.00,15
06451MA7406,"SEAL SET, PISTON",HGP,,PCS,,22000.00,15
06451MCJ751,SEAL SET PISTON,HGP,,PCS,,150500.00,15
06451MCZ006,SEAL SET PISTON,HGP,,PCS,,76500.00,15
06451MEL003,SEAL SET PISTON 32,HGP,,PCS,,63000.00,15
06451MGPD81,"SEAL SET, PISTON(32)",HGP,,PCS,,303000.00,15
06451MKRD11,SEAL SET PISTON,HGP,,PCS,,66000.00,15
06451MLCD01,"PAD SET,L FR BRAK",HGP,,PCS,,800000.00,15
06451MZ2405,"SEAL SET,PISTON",HGP,,PCS,,103000.00,15
06452MAK003,SEAL SET PISTON,HGP,,PCS,,114000.00,15
06452MCZ006,SEAL SET PISTON,HGP,,PCS,,81500.00,15
06452MEL003,SEAL SET PISTON 30,HGP,,PCS,,63000.00,15
06452MGPD81,"SEAL SET, PISTON(30)",HGP,,PCS,,303000.00,15
06454MCA307,"M/C ASSY KIT, SECOND/REAR",HGP,,PCS,,1333000.00,15
06455K20911,06455K20912,HGP,,PCS,,353500.00,15
06455K20912,"PAD SET,FR",HGP,,PCS,,309000.00,15
06455K26921,"PAD SET, FR. BRAKE",HGP,,PCS,,279500.00,15
06455K29D01,"PAD SET, FR. LBL",HGP,,PCS,,585000.00,15
06455K31901,06455K31902,HGP,,PCS,,340500.00,15
06455K31902,PAD SET,HGP,,PCS,,331000.00,15
06455K33D51,06455K33D52,HGP,,PCS,,892500.00,15
06455K33D52,"PAD SET, FR.",HGP,,PCS,,409000.00,15
06455K40F11,06455K40F12,HGP,,PCS,,373000.00,15
06455K40F12,PAD SET FR,HGP,,PCS,,61500.00,15
06455K46N21,PAD SET FR,HGP,,PCS,,61500.00,15
06455K56N01,"PAD SET, FR. BRAKE",HGP,,PCS,,59000.00,15
06455K59A71,KAMPAS REM DEPAN,HGP,,PCS,,88500.00,15
06455K84901,06455K84902,HGP,,PCS,,66500.00,15
06455K84902,"PAD SET, FR BRAKE",HGP,,PCS,,85000.00,15
06455KPP901,PAD SET FR,HGP,,PCS,,52500.00,15
06455KPP902,PAD SET FR BRAKE,HGP,,PCS,,213000.00,15
06455KPPN01,PAD SET FR,HGP,,PCS,,60000.00,15
06455KPPN02,"PAD SET, FR BRAKE",HGP,,PCS,,64000.00,15
06455KR3404,PAD SET FR,HGP,,PCS,,54500.00,15
06455KREK01,06455KREK02,HGP,,PCS,,112000.00,15
06455KREK02,KAMPAS REM DEPAN,HGP,,PCS,,121000.00,15
06455KVB401,PAD SET FR,HGP,,PCS,,58000.00,15
06455KVB912,"PAD SET,FR BRAKE",HGP,,PCS,,82500.00,15
06455KVBT01,PAD SET FR,HGP,,PCS,,60000.00,15
06455KVY911,PAD SET FR,HGP,,PCS,,53500.00,15
06455KW6844,"PAD SET,FR.BRAKE",HGP,,PCS,,291500.00,15
06455KWB601,PAD SET FR,HGP,,PCS,,54500.00,15
06455KWC901,PAD SET FR,HGP,,PCS,,62000.00,15
06455KWF951,"PAD SET, FR.",HGP,,PCS,,286000.00,15
06455KWN931,"PAD SET,FR",HGP,,PCS,,426500.00,15
06455KYE901,PAD SET FR,HGP,,PCS,,55000.00,15
06455KYJ901,PAD SET,HGP,,PCS,,484500.00,15
06455KYJ911,06455KYJ912,HGP,,PCS,,1334000.00,15
06455KYJ912,"PAD SET, FR",HGP,,PCS,,1000000.00,15
06455KZL931,06455KZL932,HGP,,PCS,,377000.00,15
06455KZL932,PAD SET FR,HGP,,PCS,,300000.00,15
06455MCA016,"PAD SET, FR",HGP,,PCS,,1204000.00,15
06455MGPD81,"PAD SET, FR. LBL",HGP,,PCS,,2448000.00,15
06455MGSD31,06455MGSD32,HGP,,PCS,,832500.00,15
06455MGSD32,"PAD SET, FR. LBL",HGP,,PCS,,1074500.00,15
06455MJED02,"PAD SET, FR.",HGP,,PCS,,1002000.00,15
06455MJMD41,PAD SET FR,HGP,,PCS,,929000.00,15
06455MJPG52,PAD SET FR LBL,HGP,,PCS,,956500.00,15
06455MKCA01,PAD SET FR LBL,HGP,,PCS,,1162500.00,15
06455MKFD41,PAD SET FR LBL,HGP,,PCS,,909000.00,15
06455MKFD61,PAD SET FR LBL,HGP,,PCS,,2486500.00,15
06455MKHD01,PAD SET FR,HGP,,PCS,,937000.00,15
06455MKKD01,PAD SET FR LBL,HGP,,PCS,,919000.00,15
06455MKND51,PAD SET FR,HGP,,PCS,,747000.00,15
06455MKPDQ1,PAD SET FR,HGP,,PCS,,369000.00,15
06455MKRD11,PAD SET FR,HGP,,PCS,,964500.00,15
06455MLCD01,"PAD SET,R FR BRAK",HGP,,PCS,,807000.00,15
06456MCA016,"PAD SET, FR",HGP,,PCS,,518000.00,15
06530GBGB20,"BALL ASSY,STEEL 6X23",HGP,,PCS,,49000.00,15
06531GBGB20,"BALL ASSY,STEEL 6X29",HGP,,PCS,,61000.00,15
06531KW6840,"BALL ASSY,8X18",HGP,,PCS,,71000.00,15
06535041010,RACE STEERING KIT,HGP,,PCS,,102000.00,15
06535GN5505,KONES,HGP,,PCS,,102000.00,15
06535KTR900,RACE STEERING KIT,HGP,,PCS,,103500.00,15
06570MKP306,SET MODULATOR,HGP,,PCS,,0.00,15
06775MCA960ZA,"KIT,AIRBAG MODULE",HGP,,PCS,,0.00,15
06775MCAJ60ZB,"KIT,AIRBAG MODULE",HGP,,PCS,,0.00,15
06890KWN305,INSPECTION KIT,HGP,,PCS,,157000.00,15
06910MCA000,BRG SET NEEDLE LBL,HGP,,PCS,,244000.00,15
06945MKK305,"KIT,CIRCLIP",HGP,,PCS,,126000.00,15
