Kode Tipe,Tipe Kendaraan,CC Mesin,Engine Code,Model,Kode Barang,Harga Jual Oli KPB 1,Harga Jasa KPB 1,Harga Jasa KPB 2,Harga Jasa KPB 3,Harga Jasa KPB 4
R5F04R25L0 M/T,New CBR 250 Std,250,,SPORT,,0,0,0,0,0
R5F04R25L0A M/T,New CBR 250 Std,250,,SPORT,,0,0,0,0,0
R5F04R25L0B M/T,New CBR 250 Std,250,,SPORT,,0,0,0,0,0
REVO AT,NCF11A1CF A/T (Revo AT),0,JBD1E,MATIC,,25500,18000,18000,18000,18000
SCOOPY PGM-FI,,0,JFL1E,MATIC,,27500,18000,18000,18000,18000
SH150ADH IN A/T,SH 150,150,,MATIC,,0,0,0,0,0
SPACY,NC11D1CF A/T (Spacy Helm In PGM-FI),0,JFA1E,MATIC,,27500,18000,18000,18000,18000
SUPRA BARU/CUB,AFX12U21C08 M/T (Supra X CW FI),0,JBP1E,MATIC,,23500,18000,18000,18000,18000
T4G02T31L0 M/T,CRF 150 L,150,,SPORT,,0,0,0,0,0
T5E02R11L0 M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
T5E02R11L0A M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
T5E02R11L0B M/T,ALL NEW CBR 150R,150,,SPORT,,0,0,0,0,0
TIGER,GL200RA1M/T,0,MC23E,MATIC,,25500,22000,22000,22000,22000
VARIO+BEAT,New Vario 150 Sporty,0,KF11E,MATIC,,27500,25625,25625,25625,25625
VERZA,GL15B1CF M/T (Verza Spoke),0,KC52E,MATIC,,25500,20000,20000,20000,20000
WW125EEX,PCX,125,,MATIC,,0,0,0,0,0
WW150D(IN) A/T,PCX 150,150,,MATIC,,0,0,0,0,0
WW150EXF IN,NEW PCX 150,150,,CBU,,0,0,0,0,0
WW150EXF IN A/T,PCX 150,150,,MATIC,,0,0,0,0,0
WW150EXG IN A/T,NEW PCX 150,150,,MATIC,,0,0,0,0,0
WW150EXH IN A/T,NEW PCX 150,150,,MATIC,,0,0,0,0,0
WW150EXJ 2IN A/T,New PCX 150,150,,MATIC,,0,0,0,0,0
X1B02N04L0 A/T,BEAT CW SPORTY,110,,MATIC,,0,0,0,0,0
X1B02N04L0A A/T,BEAT CBS SPORTY,110,,MATIC,,0,0,0,0,0
X1B02R07L0 A/T,BEAT ISS SPORTY,110,,MATIC,,0,0,0,0,0
Y1G02N02L0 A/T,BEAT POP CW,110,,MATIC,,0,0,0,0,0
Y1G02N02L0A A/T,BEAT POP CBS,110,,MATIC,,0,0,0,0,0
Y1G02N02L1 A/T,BeAT POP eSP CW Pixel,110,,MATIC,,0,0,0,0,0
Y1G02N02L1A A/T,BeAT POP eSP CW Comic,110,,MATIC,,0,0,0,0,0
Y1G02N02L1AA A/T,BeAT POP eSP CBS Pixel,110,,MATIC,,0,0,0,0,0
Y1G02N02L1AB A/T,BeAT POP eSP CBS Comic,110,,MATIC,,0,0,0,0,0
Y1G02N15L0 A/T,BEAT POP ISS,110,,MATIC,,0,0,0,0,0
Y1G02N15L1 A/T,BeAT POP eSP ISS Pixel,110,,MATIC,,0,0,0,0,0
Y1G02N15L1A A/T,BeAT POP eSP ISS Comic,110,,MATIC,,0,0,0,0,0
Y3B02R17L0 M/T,SONIC 150 R,150,,SPORT,,0,0,0,0,0
Y3B02R17L0A M/T,SONIC 150R REPSOL,150,,SPORT,,0,0,0,0,0
Y3B02R17S1 M/T,New Sonic 150R Standart,150,,SPORT,,0,0,0,0,0
Y3B02R17S1A M/T,New Sonic 150R Repsol,150,,SPORT,,0,0,0,0,0
Y3B02R17S1B M/T,New Sonic 150R Special,150,,SPORT,,0,0,0,0,0
Y3B02R17S2 M/T,New Sonic 150R,150,,SPORT,,0,0,0,0,0
Y3B02R17S2A M/T,New Sonic 150R HRR,150,,SPORT,,0,0,0,0,0
Y3B02R17S2B M/T,New Sonic 150R Matte Black,150,,SPORT,,0,0,0,0,0
